max_RSSI,std_RSSI,skew_RSSI,max_sub_min_RSSI,max_RSSI_diffs,min_RSSI_diffs,mean_RSSI_diffs,std_RSSI_diffs,skew_RSSI_diffs,max_sub_min_RSSI_diffs,mean_RSSI_diffs_abs,median_RSSI_diffs_abs,std_RSSI_diffs_abs,max_sub_min_RSSI_diffs_abs,max_RSSI_median_dist,mean_RSSI_median_dist,median_RSSI_median_dist,std_RSSI_median_dist,max_sub_min_RSSI_median_dist,max_count_same_value_RSSI,RSSI_peaks,RSSI_diffs_peaks,peak_ratio_diffs_RSSI,RSSI_values_count,y_track1,y_track2
-47,2.1707653540219916,0.10374874402180263,8,6,-7,-0.011142061281337047,1.3701507874594296,-0.2593311803874959,13,0.5181058495821727,0.0,1.2684650781688975,7,4.0,2.0277777777777777,2.0,1.0668257983150846,4.0,144,27,43,1.5925925925925926,9,0.0,0.0
-46,2.282779062220779,0.07145097920796223,9,8,-8,0.002785515320334262,1.4289069146411932,-0.18247862182677843,16,0.48746518105849584,0.0,1.3431903912180962,8,5.0,2.077777777777778,2.0,1.8632574688061039,5.0,144,22,34,1.5454545454545454,10,0.0,0.0
-46,2.2880105515383047,0.5566023994036656,9,8,-8,-0.013927576601671309,1.5629148916505826,0.2069518719320726,16,0.6545961002785515,0.0,1.419295910454638,8,8.0,1.9583333333333333,1.0,2.1936619561312947,8.0,164,42,59,1.4047619047619047,10,0.0,0.0
-46,1.7606794949537572,-0.6691834349067681,8,5,-5,0.011142061281337047,1.180098942732148,0.21235349922688482,10,0.42896935933147634,0.0,1.0994284646678354,5,4.0,0.9527777777777777,0.0,1.502033087206047,4.0,237,21,34,1.619047619047619,8,0.0,0.0
-45,3.1352190936890034,-4.529094122523357,43,37,-35,-0.011142061281337047,2.9176035840072423,0.8817957343412444,72,0.6350974930362117,0.0,2.847663251383602,37,38.0,2.061111111111111,2.0,2.507021005294462,38.0,109,30,45,1.5,12,0.0,0.0
-46,2.191381477008916,-0.27293177735983687,9,8,-8,0.011142061281337047,1.2034715705176502,-1.1336457550363896,16,0.4401114206128134,0.0,1.1201651235509822,8,5.0,1.7638888888888888,1.0,1.7864696374223938,5.0,143,28,44,1.5714285714285714,10,0.0,0.0
-45,2.1147629234082532,-0.32072666966947744,10,8,-6,-0.008356545961002786,1.2046508415444503,0.7999785716476486,14,0.40947075208913647,0.0,1.1329550675457996,8,5.0,1.511111111111111,1.0,1.5616547096265438,5.0,128,20,36,1.8,11,0.0,0.0
-47,2.0543464912650053,-0.1899331626355986,7,6,-5,0.008356545961002786,0.9514318931212243,-0.3853508528850358,11,0.2924791086350975,0.0,0.9053996079746524,6,4.0,1.761111111111111,2.0,1.0716751626873637,4.0,123,17,29,1.7058823529411764,8,0.0,0.0
-46,2.0309165205838093,-0.17510751890367734,8,7,-7,-0.005571030640668524,1.3599820352929486,-0.18925823498317157,14,0.5013927576601671,0.0,1.2641943977363144,7,4.0,1.7305555555555556,1.0,1.2302482686308223,4.0,140,29,43,1.4827586206896552,9,0.0,0.0
-46,2.012737218593404,0.23581760662386936,8,8,-8,0.0,1.1294981260334573,-0.23196916186534078,16,0.38997214484679665,0.0,1.0600413873791348,8,6.0,1.7444444444444445,2.0,1.4648557844155863,6.0,110,26,42,1.6153846153846154,9,0.0,0.0
